# firmware-2711 firmware versions
#
# Maps each pieeprom-YYYY-MM-DD.bin to the BUILD_TIMESTAMP
# and source git hash embedded in the binary, plus the
# release (default / latest / old) the file lives in. When
# a binary appears in more than one release the highest-
# precedence one wins:
#     default > latest > old   (old = archived)
#
# Generated by tools/update-versions-txt. Sorted newest-first.
#
# version     build_epoch  fw_git_hash  release
2026-04-14  1776201421  9cd61c53    latest
2026-02-23  1771858593  85353ce4    latest
2026-02-06  1770387236  8124798b    latest
2026-01-09  1767975133  d76c4603    default
2025-12-08  1765221822  2226a853    default
2025-11-27  1764248255  15a40aaa    old
2025-11-21  1763732017  b8803387    old
2025-11-05  1762363706  57db150d    default
2025-10-14  1760460013  9eb0c93b    old
2025-10-08  1759940158  a06c733f    old
2025-10-03  1759483221  9a1b610a    old
2025-09-23  1758616461  769789e3    old
2025-09-22  1758545484  9652cde4    old
2025-08-27  1756321032  000d3ca2    old
2025-08-20  1755703624  cd866525    old
2025-08-13  1755093990  bb80e517    old
2025-07-17  1752740805  3c628896    old
2025-07-03  1751554605  ab660caa    old
2025-05-16  1747391644  91d7b7b2    old
2025-05-08  1746717695  69471177    default
2025-02-24  1740417042  46cf6982    old
2025-02-11  1739293213  75c1e570    old
2024-12-07  1733575168  3858f977    old
2024-10-21  1729520694  951e1cc9    old
2024-10-10  1728553618  0e63dd5e    old
2024-09-05  1725562327  7fe8d029    old
2024-07-30  1722344555  5f18ffb6    old
2024-05-17  1715945218  72caf667    old
2024-04-17  1713358296  0b7b6f28    old
2024-04-15  1713186734  e608a69d    old
2024-01-22  1705920081  51ed67b0    old
2024-01-18  1705586363  ae876639    old
2023-05-11  1683786363  4fd8f1f3    old
2023-01-11  1673458852  8ba17717    old
2023-01-04  1672828069  22bd34fb    old
2022-12-07  1670423055  0fc8fc8e    old
2022-11-25  1669373653  850fab5f    old
2022-11-04  1667575155  febe323f    old
2022-11-02  1667386433  f4b30559    old
2022-10-18  1666090664  23aa699d    old
2022-10-12  1665588475  0f63db7b    old
2022-10-06  1665061876  a518b112    old
2022-10-03  1664799047  12e1a84f    old
2022-09-02  1662127812  0b3f4b5e    old
2022-08-02  1659455705  91b6280c    old
2022-07-26  1658829273  adb94cfb    old
2022-07-22  1658493469  4fde6470    old
2022-07-19  1658241329  253a5190    old
2022-07-14  1657813807  aaa87904    old
2022-05-20  1653034678  0213db9e    old
2022-04-26  1650968668  507b2360    old
2022-04-14  1649949890  507b2360    old
2022-03-10  1646913432  778c182c    old
2022-02-28  1646054646  969fb9b1    old
2022-02-16  1645048791  2be30cb4    old
2022-02-08  1644341086  f1e0407d    old
2022-02-04  1643976188  a26faf97    old
2022-01-25  1643121041  6efe41bd    old
2022-01-20  1642680124  6efe41bd    old
2021-12-02  1638443283  78ec5746    old
2021-11-22  1637580212  3c912e10    old
2021-10-27  1635349629  ada4d997    old
2021-10-05  1633420437  a6afaeaa    old
2021-10-04  1633339740  abb81f88    old
2021-09-27  1632749428  39e76747    old
2021-09-23  1632413480  ae05cfb4    old
2021-07-06  1625568293  c258ef8f    old
2021-06-25  1624617942  86aa3d46    old
2021-06-17  1623917100  8f216048    old
2021-06-11  1623418752  37f642ea    old
2021-05-19  1621439514  5c860865    old
2021-04-29  1619712685  c2f8c388    old
2021-03-18  1616057651  1b43d5b6    old
2021-03-17  1615980336  05552182    old
2021-03-04  1614783295  0e0a5833    old
2021-02-16  1613481816  d6d82cf9    old
2021-01-16  1610806213  d1be7b5b    old
2021-01-11  1610379873  a36abf55    old
2021-01-05  1609862995  e4cda8a7    old
2020-12-11  1607685317  c3f26b60    old
2020-11-24  1606230484  6fdd3d2b    old
2020-10-28  1603906360  694e118a    old
2020-10-02  1601624657  bfe1c7dd    old
2020-09-03  1599135103  c305221a    old
2020-09-02  1599135103  c305221a    old
2020-08-31  1598864864  5c41dcec    old
2020-07-31  1596203019  f8d1dc69    old
2020-07-16  1594912546  45291ce6    old
2020-07-06  1594036095  2139c00d    old
2020-06-15  1592228179  c302dea0    old
2020-06-12  1591959344  ef583b73    old
2020-06-03  1591188827  b5de8c32    old
2020-05-28  1590650553  7b40bda4    old
2020-05-27  1590601649  d648db39    old
2020-05-26  1590496449  8387906e    old
2020-05-15  1589537152  23a9f59b    old
2020-04-16  1587057086  a5e1b95f    old
2020-04-09  1586451341  fffd67bc    old
2020-03-19  1584628045  940f978d    old
2020-03-16  1584365318  929eee15    old
2020-03-04  1583331848  a445ea4f    old
2020-01-17  1579282631  5e86aac5    old
2020-01-09  1578594354  df0ff18c    old
2019-12-03  1575394593  f0d7269d    old
2019-11-18  1574075215  b6a7593d    old
2019-10-16  1571245203  18472066    old
2019-10-08  1570546130  26dd3686    old
2019-09-25  1569408005  4d982432    old
2019-09-23  1569234286  c67e8bb3    old
2019-09-10  1568112110  f626c772    old
2019-09-06  1567764559  d8189ed4    old
2019-07-15  1563195595  514670a2    old
